video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city,data_collection_engine
7658332028584168717,2026-07-03T12:00:07,0,US,1892,29,142,111300,Core memories with tour reigning queens of track and field. Shot in Los Angeles for the After Dark Tour.,False,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7657961133642419470,2026-07-02T12:00:34,15,US,1834,40,69,109000,@FaithKipyegon and @Keely don't chase limits -they redefine them. Shot in Los Angeles for the After Dark Tour.,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7657252996450962702,2026-06-30T14:12:34,26,US,5741,142,85,204100,ATTN: Serena W. Priority: Handle with care. Contents: Radical Air.,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7656847712935054606,2026-06-29T12:00:15,19,US,2202,39,59,106400,@Sha’Carri Richardson and @Tara make the ultimate hype squad. Shot in Los Angeles for the After Dark Tour.,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7656784441595022606,2026-06-29T07:55:51,46,US,1043,32,33,81600,Serve. Swing. Smash. Strawberries and cream never stood a chance.,True,,nike,Nike,8900000,89,48000000,1082,719,True,London,"Greater London, United Kingdom",,dom
7656537260661280014,2026-06-28T15:55:33,17,US,1798,26,48,92200,Being good gets you in the building. Being great gets you one. ,True,,nike,Nike,8900000,89,48000000,1082,719,True,Nike World Headquarters,"One Bowerman Dr, Beaverton, OR 97005, United States",Hillsboro,dom
7656152006905580813,2026-06-27T15:00:24,49,US,11900,549,77,161300,Always beat your heroes @Jerzzzzzzz  @jazz  @sylaswords  @Madison Booker  @bella  @The_aaliyah_chavez  @ju ,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7654998374030003470,2026-06-24T12:23:47,15,US,2775,53,91,112100,Some races change the sport. Others change us.  Your After Dark Tour training starts now. Find everything you need at the link in bio. Race the night away.,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7654656497284140302,2026-06-23T14:17:09,7,US,16200,374,177,183700,"There's only one Cristiano Ronaldo.  Goals on the biggest stage in '06, '10, '14, '18, '22 and now ‘26. ",True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7651088898562493709,2026-06-13T23:32:52,39,US,328400,21200,1914,2600000,"Sleep well, NY.",True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7647200302189251854,2026-06-03T12:03:21,60,US,304000,6449,886,46000000,Nobody ever dreams of doing what they’re told.  Rip The Script. June 4th.,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7643415179186687245,2026-05-24T07:16:09,23,US,7247,141,191,267900,Who’s serving? The NikeCourt lineup in the remastered Tennis Classic.,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7643119112612252942,2026-05-23T12:06:10,17,US,5442,65,109,214000,Just getting warmed up. LeBron NXXT Gen by JuJu 'Silver Lining' arrives on 5.27.,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7639748356582968589,2026-05-14T10:05:40,9,US,1767,69,97,154600,Performance pieces designed for post‒workout plans. New NikeSKIMS has arrived. ,True,POV: you're a NikeSKIMS girl,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7631536776661765389,2026-04-22T07:00:37,73,US,18000,639,684,339100,"No matter the court, @Alex Eala is giving it her all.",True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
7631242785227672845,2026-04-21T12:00:23,24,US,4286,125,148,202000,Lit up I-95 for the SB AF-1. Check out Creased on NikeSB.com & YouTube. 📹: Johnny Wilson,True,,nike,Nike,8900000,89,48000000,1082,719,True,,,,dom
